Movie_Title,Rating,Vote_Count,Runtime,Genre
Kahar: Kapla High Council,7.0,493,1h 42m,Action
Mathu Vadalara 2,7.0,1.7K,2h 19m,Action
Hitler,5.2,315,2h 8m,Action
Baby Assassins: Nice Days,7.2,344,1h 43m,Action
Hounds of War,4.5,2K,1h 35m,Action
Citizen of a Kind,6.7,898,1h 54m,Action
Non Negotiable,5.4,1.2K,1h 27m,Action
Kill Em All 2,4.1,1.4K,1h 28m,Action
Devil's Knight,5.3,963,1h 30m,Action
Warning 2,7.1,900,2h 5m,Action
Blood Star,6.4,6.2K,1h 37m,Action
Malaikottai Vaaliban,6.0,4.2K,2h 36m,Action
Shark Island,3.2,128,1h 21m,Action
Gangs of Godavari,4.9,917,2h 45m,Action
Rode College,6.6,434,2h 48m,Action
Hunt the Wicked,5.4,162,1h 42m,Action
Touchdown,6.8,14,1h 18m,Action
Dragon Ball Z Kai,8.6,87,1h 22m,Action
Next to Us,4.8,229,2h 5m,Action
Operation Valentine,5.3,1.4K,2h 13m,Action
Dark Fusion,8.5,241,1h 30m,Action
Gladiators,4.5,111,1h 35m,Action
Vanvaas,6.6,1.5K,2h 40m,Action
Devaki Nandana Vasudeva,6.5,2.8K,2h 8m,Action
"I, the Executioner",6.3,2K,1h 58m,Action
High Forces,5.8,574,1h 59m,Action
KA,7.0,1.7K,2h 31m,Action
72 Hours,4.0,337,1h 27m,Action
Max,7.1,3.5K,2h 12m,Action
Guy Manley: Super Spy,4.2,157,1h 32m,Action
Yudhra,4.9,13K,2h 22m,Action
Invasion,4.8,742,1h 31m,Action
Harom Hara,6.6,3.1K,2h 34m,Action
The Tiger's Apprentice,5.7,2.2K,1h 24m,Action
Drive Back,4.5,628,1h 34m,Action
How to Rob a Bank,6.6,4.3K,1h 28m,Action
Freedom,5.9,1.4K,1h 50m,Action
Athhoi,7.3,219,2h 38m,Action
Cesium Fallout,6.3,887,2h 15m,Action
Don't Mess with Grandma,5.5,289,1h 21m,Action
Bureau 749,3.9,579,2h 3m,Action
UI,6.8,5.8K,2h 15m,Action
The Last Kumite,4.6,2.4K,1h 45m,Action
The Firefighters,5.7,244,1h 46m,Action
Murder Company,3.7,1.6K,1h 26m,Action
Outlaw,5.2,969,1h 22m,Action
Angels Fallen: Warriors of Peace,4.8,5.8K,1h 43m,Action
Ryan's World the Movie: Titan Universe Adventure,1.8,728,1h 20m,Action
Baki Hanma VS Kengan Ashura,5.7,2K,1h 2m,Action
The Last Front,5.5,635,1h 38m,Action
Wanted Man,4.8,2.6K,1h 25m,Action
Sunray: Fallen Soldier,4.4,699,1h 55m,Action
GTMax,5.0,1.3K,1h 40m,Action
Crakk: Jeetega... Toh Jiyegaa,4.7,6.5K,2h 34m,Action
Golden Kamuy,6.3,2.6K,2h 7m,Action
Mura,7.2,6.4K,2h 9m,Action
Mission: Cross,6.1,2.7K,1h 45m,Action
Turbo,5.9,3.7K,2h 35m,Action
Je Jatt Vigarh Gya,5.6,834,2h 12m,Action
Heart of the Hunter,4.7,2.2K,1h 45m,Action
Peter Five Eight,3.5,1.1K,1h 40m,Action
Bachhala Malli,8.2,3.9K,2h 20m,Action
The Bodyguard,6.6,37,1h 27m,Action
Sheriff,6.9,1.2K,2h 13m,Action
Operation Blood Hunt,3.4,514,1h 33m,Action
Martin,2.2,36K,2h 27m,Action
The Lockdown,4.3,625,1h 57m,Action
Pottel,8.1,2.7K,2h 28m,Action
The Kingdom,7.0,147,2h 13m,Action
Deaner '89,5.8,457,1h 30m,Action
Operation Undead,4.7,438,1h 50m,Action
Ghosts of Red Ridge,3.2,178,1h 21m,Action
Matka,4.7,603,2h 36m,Action
24 Hours to D-Day,3.5,81,1h 23m,Action
They Call Her Death,5.3,200,1h 32m,Action
Rogue Elements: A Ryan Drake Story,4.3,1.1K,44m,Action
Fighting the Fire,8.5,1.7K,1h 55m,Action
DNA,5.1,212,2h 36m,Action
Sorgavaasal,6.6,1.4K,2h 18m,Action
The Hangman,3.3,1K,1h 32m,Action
Rajakili,5.1,621,2h 2m,Action
Dharmarakshak Mahaveer Chhatrapati Sambhaji Maharaj,8.2,671,2h 54m,Action
Six jours,5.7,264,1h 35m,Action
Continental Split,3.5,568,1h 28m,Action
Fight Another Day,4.9,376,1h 37m,Action
Cassino in Ischia,4.4,263,1h 53m,Action
Bangkok Breaking: Heaven and Hell,5.8,696,2h 26m,Action
Nice Girls,4.2,1.2K,1h 32m,Action
Kondal,5.3,797,2h 27m,Action
Witch Hunter,4.8,26,1h 20m,Action
Get Fast,3.7,479,1h 28m,Action
12 Gaun,6.3,940,2h 27m,Action
Snow White and the Seven Samurai,3.2,313,1h 28m,Action
Bhaiyya Ji,4.8,7.4K,2h 30m,Action
Sucha Soorma,6.4,954,2h 16m,Action
School of Magical Animals 3,5.7,347,1h 45m,Action
Bionic,4.3,1.8K,1h 50m,Action
Conquer: Lahad Datu,6.6,547,2h,Action
Thundu,5.0,921,2h 5m,Action
Mechanic Rocky,6.4,3.5K,2h 36m,Action
Zebra,7.2,3.2K,2h 44m,Action
Rathnam,5.4,3.7K,2h 35m,Action
Gatao: Like Father Like Son,5.7,257,2h 11m,Action
Roadkill,3.7,694,1h 30m,Action
War of the Worlds: Extinction,3.0,215,1h 24m,Action
Naam,6.3,286,2h 16m,Action
No Time to Spy: A Loud House Movie,6.3,497,1h 21m,Action
Mahadev Ka Gorakhpur,7.4,398,2h 11m,Action
Mobile Suit Gundam SEED Freedom,6.6,980,2h 4m,Action
Barroz: Guardian of Treasures,3.4,1K,2h 35m,Action
The Last Ronin,4.9,593,1h 55m,Action
Alangu,8.0,1.2K,2h 11m,Action
Hellhound,4.3,523,1h 43m,Action
Pins & Needles,6.6,13,None,Action
Bloody Beggar,6.2,4.4K,2h 14m,Action
Bastar: The Naxal Story,6.4,3.3K,2h 4m,Action
Big City Greens the Movie: Spacecation,6.2,581,1h 23m,Action
The Unbreakable Bunch,7.3,35,1h 25m,Action
Bangkok Dog,4.8,240,1h 25m,Action
Eye for an Eye 2,6.6,545,1h 30m,Action
Pusaka,5.3,193,1h 30m,Action
Virunnu,4.0,950,2h 5m,Action
Snatched,6.1,533,1h 41m,Action
Return to the Ring,5.3,751,1h 46m,Action
The Wolf,3.4,39,1h 27m,Action
Ruslaan,3.3,1.3K,2h,Action
Viswam,4.2,652,2h 35m,Action
12 to Midnight,3.6,296,1h 36m,Action
Lady Scorpions,3.6,374,1h 41m,Action
Chhota Bheem and the Curse of Damyaan,4.8,2.3K,2h 25m,Action
Anchakkallakokkan,6.6,1K,2h 6m,Action
Bheema,5.7,967,2h 28m,Action
Sons of Rizk 3,6.6,1.8K,2h 5m,Action
Pimpinero: Blood and Oil,5.6,574,2h 1m,Action
The Mick and the Trick,4.8,82,1h 36m,Action
Blade of Fury,6.1,137,1h 30m,Action
The Last of Us: Immunity,4.4,31,1h 4m,Action
Agents,3.3,949,1h 22m,Action
Naa Saami Ranga,4.5,1.2K,2h 30m,Action
Midas,4.6,346,1h 25m,Action
Operation Hope,6.7,25,None,Action
The Plot,4.8,399,1h 40m,Action
The Lost Tiger,7.9,52,1h 30m,Action
Lie Zhan,6.6,83,1h 33m,Action
Rats!,6.5,182,1h 25m,Action
First Nights at Freddy's,9.4,19,1h 38m,Action
Taken from Rio Bravo,3.0,322,1h 20m,Action
Hunting with Tigers,5.6,558,1h 49m,Action
Bull Shark 2,2.8,209,1h 15m,Action
Crisis Negotiators,6.7,745,2h,Action
Zero,5.9,83,1h 28m,Action
WWII: Operation Phoenix,5.7,100,1h 46m,Action
Malayalee from India,5.6,5.1K,2h 40m,Action
Dirty Money,5.7,187,1h 40m,Action
Rudraa,None,None,2h 26m,Action
Alpha.,6.9,272,1h 40m,Action
Bhimaa,5.1,1.2K,2h 21m,Action
Dange,5.3,806,2h 34m,Action
Road Wars: Max Fury,2.0,367,1h 23m,Action
Weapon,5.4,5.6K,2h,Action
Big Rage,3.6,174,1h 55m,Action
6 Hours Away,4.0,257,1h 33m,Action
