Movie_Title,Rating,Vote_Count,Runtime,Genre
Blood Dried Hands,6.1,160,1h 55m,crime
Bury Him,6.8,19,1h 28m,crime
Thankamani,4.6,233,2h 36m,crime
Hotel Underground,7.7,76,None,crime
Anyone Else But Me,7.0,155,1h 35m,crime
"Rajagunj: Pooja, Sir",6.3,775,1h 55m,crime
Dead Man,5.1,215,1h 49m,crime
Sentimentaaal,4.9,991,2h 15m,crime
Jersey Bred,4.6,76,1h 32m,crime
Filthy Animals,6.9,108,1h 36m,crime
The Donor,9.0,9,23m,crime
Scopophobia,5.7,67,1h 40m,crime
Who Killed Terrance Brown?,6.1,11,1h 35m,crime
Cookster: The Darkest Days,8.3,43,1h 59m,crime
The Worst Man in London,5.7,151,2h 7m,crime
Shu Si Yi Bo,6.7,39,1h 31m,crime
Raavsaheb,7.9,10,2h 18m,crime
Happy Birthday Luci,9.4,58,None,crime
A Brothers Bond,5.1,57,1h 43m,crime
Silvio,3.1,535,1h 54m,crime
Rock,3.2,15,None,crime
Where Is Gilgamesh?,8.9,640,1h 30m,crime
Miséria,4.2,107,1h 39m,crime
Gold Boy,6.5,147,2h 9m,crime
Muroi Shinji: Yaburezaru Mono,6.6,21,1h 55m,crime
Uno,8.5,33,None,crime
Dark World,4.9,19,2h 15m,crime
Pathological: The Lies of Joran van der Sloot,6.5,352,1h 33m,crime
Texas Twister,2.5,161,1h 28m,crime
Plastic Guns,6.3,661,1h 35m,crime
Porch Pirates,5.1,108,1h 47m,crime
Wannabe,4.5,134,1h 42m,crime
Young Lion of the West,5.3,109,1h 33m,crime
Dream Team,5.0,68,1h 31m,crime
Tiger Wolf Rabbit,6.2,541,2h 6m,crime
Overdose,9.0,55,2h 15m,crime
The Stix,7.5,36,2h 3m,crime
Ballistic,2.2,164,1h 35m,crime
Suspect,4.5,88,1h 34m,crime
RTI,5.9,26,2h 10m,crime
Bodiless,5.7,1.1K,1h 30m,crime
One Last Time,7.0,15,1h 22m,crime
Kiss of the Con Queen,7.3,31,1h 57m,crime
Chor Dil,7.5,40,2h 15m,crime
The Murder of Sandra Rivett,6.3,148,1h 30m,crime
S.I.T,6.6,2.3K,1h 50m,crime
Bozji gnjev,7.2,59,1h 51m,crime
Chithini,5.8,550,2h 31m,crime
Routa,6.5,34,2h 7m,crime
Road to Terzetto,7.6,76,1h 36m,crime
Gam Gam Ganesha,5.3,315,2h 20m,crime
Tikri Farai,6.7,52,None,crime
Cubic Zirconia,7.0,74,None,crime
Jog 101,6.6,500,1h 47m,crime
IC9,None,None,2h,crime
Pattaya Heat,5.6,226,1h 57m,crime
Beneath the Fold,7.3,31,1h 20m,crime
Niyathi,6.8,173,1h 53m,crime
Lolipop Gang,None,None,1h 30m,crime
Estômago II: O Poderoso Chef,5.8,341,2h 11m,crime
Oppa,8.6,48,1h 24m,crime
Bond of Justice: Kizuna Part I - Encounter,5.6,20,1h 32m,crime
What Happens in Miami,4.2,222,1h 30m,crime
Passages of Nexus,5.2,309,1h 48m,crime
No Cap,5.5,40,1h 48m,crime
Lorry Chapter-1,5.4,2.4K,3h 3m,crime
Swing Bout,8.4,181,1h 30m,crime
CHAAW: Chapter 3 - Christmas Time Is Here,7.9,477,1h 12m,crime
Nico,8.2,49,1h 49m,crime
"Milk, Rice, and the Blood",7.4,152,45m,crime
Stealing Vows,None,None,2h,crime
Theppa Samudram,7.4,1.6K,2h 13m,crime
Marine Drive,9.5,50,1h 45m,crime
Telekinesis,5.8,63,1h 46m,crime
The Star City Murders,4.1,146,1h 19m,crime
Reloaded 2,7.5,1.2K,45m,crime
Vares X,3.6,128,1h 25m,crime
The Legend of the Vagabond Queen of Lagos,7.8,40,1h 40m,crime
Welcome to the Game,5.9,68,1h 30m,crime
The Brokenhearted,7.3,34,None,crime
