Movie_Title,Rating,Vote_Count,Runtime,Genre
Who Killed Lawrence of Arabia?,6.5,32,1h 40m,Biography
Sunita,9.6,6,None,Biography
"Sean Penn, L'enfant terrible de l'Amérique",7.1,45,52m,Biography
"François Truffaut, le scénario de ma vie",6.9,46,1h 38m,Biography
Reba McEntire: Country Gold,7.5,10,1h,Biography
Zwanzig Jahre an der Peitsche,None,None,1h 29m,Biography
Gulag Eros of the Russian Mind,None,None,56m,Biography
Fly by Night,8.0,16,None,Biography
Waldo,6.6,7,1h 44m,Biography
You Are Always Right Here,None,None,None,Biography
Tapes of Revolution,9.4,7,1h 15m,Biography
La herencia de Flora,5.8,6,2h 14m,Biography
It'll Never Work,9.6,30,57m,Biography
"Marisol, llámame Pepa",6.8,119,1h 27m,Biography
Clergyman,None,None,1h 54m,Biography
Not Taken: Origins,9.8,7,1h 9m,Biography
Barnen från Camp Ashraf,5.3,20,1h 28m,Biography
O familie aproape perfecta,5.5,9,1h 28m,Biography
Majnoon,6.9,35,None,Biography
La nostra Raffaella,None,None,1h 25m,Biography
Italo Svevo. Secret Writing in Trieste,None,None,1h 1m,Biography
Ray of Hope,7.0,11,1h 45m,Biography
"Cruel, Usual, Necessary: The Passion of Silvio Narizzano",None,None,2h 14m,Biography
"Dolly Parton: Bigger Hair, Bigger Heart",7.4,13,1h,Biography
Me Dicen El Panzer,6.8,8,1h 30m,Biography
Mythical Creatures,None,None,1h 30m,Biography
Livio Garzanti: Il gran viziato - La morale nascosta di un editore formidabile,None,None,1h 15m,Biography
La valanga azzurra,7.6,11,1h 30m,Biography
The Truth: The Journey Within,7.2,9,1h 31m,Biography
Lulu in Turin,8.5,6,1h 16m,Biography
Rhythm of a Flower,7.4,15,1h 21m,Biography
Butterfly,None,None,None,Biography
Nonkonform,7.7,22,1h 57m,Biography
The Blood Brothers,None,None,1h 34m,Biography
Can You Say... Looking?,None,None,1h 29m,Biography
9 sekund,4.6,65,1h 31m,Biography
A Almería de Leone,None,None,51m,Biography
Cartas Telepáticas,5.2,37,1h 10m,Biography
Janani: The Last Stand,None,None,None,Biography
Alí Primera,None,None,None,Biography
"José Lifante, mi aventura en el cine",None,None,1h 25m,Biography
Nema ne mogu,None,None,54m,Biography
Looking for Simone,7.3,16,1h 33m,Biography
Basketball Jones: The First Chapter,None,None,None,Biography
Carles Sabater. No espereu res de mi,8.1,19,1h 15m,Biography
Atín Aya. Retrato del silencio,None,None,1h 19m,Biography
The Israelites,None,None,None,Biography
Cutting Squares,None,None,2h 8m,Biography
The Ballad of John and Yoko,8.5,17,1h 41m,Biography
"Milva, diva per sempre",None,None,1h 29m,Biography
Bad Bunny: Global Takeover,None,None,1h,Biography
The Swimming Diaries,None,None,1h 40m,Biography
The Real RFK Jr.,None,None,None,Biography
Burkitt,None,None,1h 13m,Biography
Golpe a Golpe (Blow by Blow),8.1,23,1h 30m,Biography
Destiny or Will. Marusia,8.8,20,None,Biography
Zhambyl: New Era,None,None,1h 32m,Biography
Pensando ad Anna,8.2,6,None,Biography
Dad and I: The Legacy of Timothy J. Dunn,None,None,2h 23m,Biography
Roughneck,None,None,None,Biography
Zvanetskiy,9.2,7,1h 30m,Biography
Janet Jackson: In Control,5.7,9,1h,Biography
I am the girl 3 me and my girlfriend,None,None,None,Biography
MAGA 1909,None,None,1h 1m,Biography
Gummadi Narsaiah Biopic,None,None,None,Biography
Riv i hjertet,7.2,36,1h 47m,Biography
Parvin,5.5,51,None,Biography
Maria,4.2,23,1h,Biography
Comrade Yuri,None,None,None,Biography
30 to 45,None,None,1h 58m,Biography
Romina,7.5,13,None,Biography
Saint Pio of Pietrelcina - Man of Hope and Healing,None,None,None,Biography
No More Trouble - Cosa rimane di una tempesta,8.6,20,1h 37m,Biography
Italo Calvino nelle città,None,None,1h 26m,Biography
I Am Kevin Harvick,9.1,17,None,Biography
Born Again: George Whitefield,None,None,59m,Biography
The Wellness Warrior,None,None,45m,Biography
"Mary, Marianna, Maria: Ta agnosta ellinika hronia tis Kallas",7.9,16,1h 43m,Biography
Shaking It Up: The Life and Times of Liz Carpenter,8.0,9,1h 17m,Biography
Brev til Håkon Banken,8.2,30,1h 20m,Biography
Soares é Fixe,4.8,79,1h 23m,Biography
Il ricercatore,6.4,9,1h 11m,Biography
Toquinho: Encontros e um Violão,8.6,5,1h 30m,Biography
She Dances by the Sea,None,None,1h 47m,Biography
Manyam Dheerudu,5.7,3.7K,1h 54m,Biography
"Love, Blood, & Aztec Demons: The Lost Films of Juan F. Moctezuma II",None,None,1h 34m,Biography
Simply Johanne,None,None,1h 15m,Biography
Colbert: All Students Can Learn,None,None,None,Biography
Los Chavales de la Morelia,None,None,40m,Biography
Dushu,None,None,1h 36m,Biography
Louis Riel or Heaven Touches the Earth,3.8,5,None,Biography
¡Qué suerte hemos tenido!,7.5,16,1h 2m,Biography
Que notre joie demeure,None,None,1h 48m,Biography
Roman Kostomarov. Rozhdennyy dvazhdy,None,None,1h 17m,Biography
Bhanu,None,None,2h 14m,Biography
Our Place Is Here,None,None,54m,Biography
Bad Case of the Country Blues: The Linda Martell Story,None,None,1h 29m,Biography
Hancsovszky,7.8,21,None,Biography
Nebesko,5.1,10,1h 13m,Biography
Citizen Glenn,None,None,55m,Biography
Cinema Strada,None,None,1h 46m,Biography
Illuminate - Monica Vitti - La donna che visse due volte,None,None,45m,Biography
Senza volto - Storia di Fabrizio Maiello,None,None,1h 39m,Biography
Graciano Rocchigiani - Das Herz eines Boxers,9.2,52,2h 3m,Biography
Veljko od mora,7.2,16,53m,Biography
Insula Fondane (Fondane Island),8.7,12,1h 22m,Biography
Herman Brood and His Wild Romance,None,None,None,Biography
Vincenzo Nibali - Il 7° campione,None,None,52m,Biography
"Señor Jazz, la película de Carlos Inzillo",None,None,1h 22m,Biography
Wole Soyinka Eni Ogun,None,None,None,Biography
"Jacques Demy, le rose et le noir",7.0,14,1h 28m,Biography
Palace Guardians,9.3,8,1h 4m,Biography
"Lupicinio Rodrigues, Confissões de um Sofredor",7.4,7,1h 39m,Biography
YA - Sergey Obraztsov,None,None,1h 25m,Biography
O Voo do Crocodilo - O Timor de Ruy Cinatti,None,None,1h 11m,Biography
El Chilote: Gloria del Béisbol Dominicano,None,None,1h 15m,Biography
Interviews with Abdelkrim Baba Aïssa,None,None,6h 14m,Biography
The Story of M,None,None,None,Biography
DCLXVI,None,None,3h 20m,Biography
Rinnans rival,None,None,1h 34m,Biography
Iyunskaya polyn,8.7,7,1h 19m,Biography
Luis Terror Días,None,None,None,Biography
O Visconde Indomável,None,None,None,Biography
Duilio Cambellotti - Arte senza fine,None,None,56m,Biography
Mini Avengers,None,None,3h 20m,Biography
I am the girl 2 and my black belt,None,None,2h 2m,Biography
Seu Cavalcanti,None,None,1h 18m,Biography
Gaspare Spontini Celeste Amore,None,None,None,Biography
Nomade che non sono altro,None,None,None,Biography
The Thousand Colours of the Morning,None,None,1h 8m,Biography
I am the girl: this is my childhood until I wake up,None,None,1h 40m,Biography
Tesouro Natterer,None,None,1h 24m,Biography
Pellizza pittore da Volpedo,None,None,1h 15m,Biography
La couleur dans les mains,None,None,1h 26m,Biography
Gevart,7.3,70,34m,Biography
