Movie_Title,Rating,Vote_Count,Runtime,Genre
Captain Avispa,5.7,181,1h 36m,Animation
Ganbatte Ikimasshoi,5.2,14,1h 35m,Animation
Peppa Pig: Peppa's Adventures Around the World,8.0,8,None,Animation
PAPmusic - Animation for Fashion,1.0,169,1h 25m,Animation
The Umbrella Fairy,5.7,61,1h 35m,Animation
Le parfum d'Irak,8.0,52,1h 35m,Animation
Memory Hotel,None,None,1h 40m,Animation
Piril: Sayilarin Gizemi,8.9,68,None,Animation
Rocky and Bullwinkle,8.6,17,1h 40m,Animation
Rock Bottom,6.2,55,1h 26m,Animation
"Robotia, the Movie",7.3,32,1h 26m,Animation
Zak & Wowo: The Legend of Lendarys,5.7,103,1h 25m,Animation
Astra,6.8,8,1h 20m,Animation
Slocum et moi,7.3,79,1h 15m,Animation
Chikoo Bunty in the Ultimate Dream Chase,None,None,1h 30m,Animation
Nie Xiaoqian,6.2,18,1h 52m,Animation
STEVE (A Minecraft Movie),6.9,12,1h 1m,Animation
DreadClub: Vampire's Verdict,4.8,63,1h 28m,Animation
Code Geass: Rozé of the Recapture - Part 1,7.6,42,1h 14m,Animation
Animal Tales of Christmas Magic,6.8,52,1h 12m,Animation
Teacher's Pet,5.4,37,None,Animation
TWST: Things We Said Today,7.0,66,1h 26m,Animation
Balentes,7.4,8,1h 10m,Animation
Tay 2: Ebabil Takimi,4.9,46,1h 18m,Animation
Luntik. Vozvrashchenie domoy,6.4,81,TV-Y,Animation
Meitantei Conan Bâsasu Kaitô Kiddo,6.1,172,1h 21m,Animation
Inventors,None,None,None,Animation
Masha i Medved v kino: Park chudes,7.1,19,58m,Animation
Transformers: 40th Anniversary Event,7.4,30,1h 36m,Animation
Motu Patlu & The Race to the Diamond Valley,7.9,29,1h 12m,Animation
Crazy Train,None,None,1h 35m,Animation
Bocchi the Rock! Recap Part 2,7.4,133,1h 17m,Animation
The Barkers Pursuit of Adventure,None,None,None,Animation
The Fifth Element,None,None,None,Animation
Dikkie Dik 2: Een Nieuwe Vriend voor Dikkie Dik,7.4,76,1h 10m,Animation
Tri bogatyrya. Ni dnya bez podviga,5.7,78,1h 1m,Animation
