Movie_Title,Rating,Vote_Count,Runtime,Genre
Autumn and the Black Jaguar,5.6,1.1K,1h 40m,Adventure
Kaizen,7.1,738,2h 40m,Adventure
Oculus,6.0,15,1h 53m,Adventure
Gaami,6.3,2.1K,2h 27m,Adventure
The Mountain,6.6,168,1h 29m,Adventure
Space Ranger,3.5,85,None,Adventure
Witch Hunter,4.8,26,1h 20m,Adventure
Dalia and the Red Book,5.9,148,1h 47m,Adventure
Poklad,4.4,49,1h 40m,Adventure
School of Magical Animals 3,5.7,347,1h 45m,Adventure
Bionic,4.3,1.8K,1h 50m,Adventure
Roadkill,3.7,694,1h 30m,Adventure
War of the Worlds: Extinction,3.0,215,1h 24m,Adventure
Seven Seas Seven Hills,8.6,95,1h 30m,Adventure
No Time to Spy: A Loud House Movie,6.3,497,1h 21m,Adventure
Lumina,2.1,703,1h 53m,Adventure
Mobile Suit Gundam SEED Freedom,6.6,980,2h 4m,Adventure
At Her Feet,7.3,54,1h 40m,Adventure
Barroz: Guardian of Treasures,3.4,1K,2h 35m,Adventure
The Last Ronin,4.9,593,1h 55m,Adventure
Big City Greens the Movie: Spacecation,6.2,581,1h 23m,Adventure
Panda Bear in Africa,5.5,373,1h 24m,Adventure
Diplodocus,6.3,196,1h 33m,Adventure
The Magician's Raincoat,5.0,128,None,Adventure
Chhota Bheem and the Curse of Damyaan,4.8,2.3K,2h 25m,Adventure
Gracie and Pedro: Pets to the Rescue,5.0,289,1h 27m,Adventure
Storm Crashers,6.2,579,1h 28m,Adventure
Chuck Billy and the Marvelous Guava Tree,7.4,1.2K,1h 30m,Adventure
Pimpinero: Blood and Oil,5.6,574,2h 1m,Adventure
Five Friends,6.7,958,1h 52m,Adventure
Sam and Colby: The Legends of the Paranormal,4.8,314,1h 38m,Adventure
Un lío de millones,5.3,264,1h 31m,Adventure
The Last of Us: Immunity,4.4,31,1h 4m,Adventure
Naa Saami Ranga,4.5,1.2K,2h 30m,Adventure
The Lost Tiger,7.9,52,1h 30m,Adventure
WWII: Operation Phoenix,5.7,100,1h 46m,Adventure
Alpha.,6.9,272,1h 40m,Adventure
The Casagrandes Movie,5.6,692,1h 29m,Adventure
Road Wars: Max Fury,2.0,367,1h 23m,Adventure
Life with Quincy 3,None,None,1h 13m,Adventure
Meanwhile on Earth,6.0,952,1h 29m,Adventure
Niko: Beyond the Northern Lights,6.1,353,1h 26m,Adventure
Treasure Trackers,5.7,171,1h 32m,Adventure
